Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[treatment]	Characteristics[subcellular fractions]	Characteristics[biological replicate]	Characteristics[Individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[treatment]	Factor Value[subcellular fractions]
Sample 16	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Membrane and Organelles	1	donor4	cell	run 55	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	1	55	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Membrane and Organelles
Sample 17	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Nuclear	1	donor4	cell	run 55	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	1	55	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Nuclear
Sample 18	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Nuclear	1	donor4	cell	run 55	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	1	55	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Nuclear
Sample 19	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Nuclear	1	donor4	cell	run 55	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	1	55	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Nuclear
Sample 20	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	not applicable	not applicable	1	donor4	cell	run 55	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr55.raw	1	55	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	not applicable
Sample 11	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Cytosol	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Cytosol
Sample 12	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Cytosol	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Cytosol
Sample 13	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Cytosol	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Cytosol
Sample 14	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Membrane and Organelles	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Membrane and Organelles
Sample 15	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Membrane and Organelles	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Membrane and Organelles
Sample 16	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Membrane and Organelles	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Membrane and Organelles
Sample 17	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Nuclear	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Nuclear
Sample 18	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Nuclear	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Nuclear
Sample 19	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Nuclear	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Nuclear
Sample 20	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	not applicable	not applicable	1	donor4	cell	run 56	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr56.raw	1	56	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	not applicable
Sample 11	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Cytosol	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Cytosol
Sample 12	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Cytosol	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Cytosol
Sample 13	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Cytosol	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Cytosol
Sample 14	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Membrane and Organelles	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Membrane and Organelles
Sample 15	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Membrane and Organelles	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Membrane and Organelles
Sample 16	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Membrane and Organelles	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Membrane and Organelles
Sample 17	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Nuclear	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Nuclear
Sample 18	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Nuclear	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Nuclear
Sample 19	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Nuclear	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Nuclear
Sample 20	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	not applicable	not applicable	1	donor4	cell	run 57	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr57.raw	1	57	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	not applicable
Sample 11	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Cytosol	1	donor4	cell	run 58	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr58.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr58.raw	1	58	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Cytosol
Sample 12	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Cytosol	1	donor4	cell	run 58	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr58.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr58.raw	1	58	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Cytosol
Sample 13	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Cytosol	1	donor4	cell	run 58	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr58.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160917_donor4_QE_TMT10_175ugIPG3-10_7of15ul_fr58.raw	1	58	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Cytosol
