Number 1,Dataset,Pnumber,Cellline,Rawfile,Name,PX Accession,intrument,,00523_D02_P003815_B0L_A00_R1.RAW,PXD005940
498,full proteome of 59 cell lines,P001906,A-549,00296_D05_P001906_B00L_A00_R2.RAW,A-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_D05_P003205_B00L_A00_R1.RAW,PXD005946
499,full proteome of 59 cell lines,P001906,A-549,00296_B05_P001906_B00J_A00_R2.RAW,A-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_D08_P001565_B00L_A00_R1.RAW,PXD005946
500,full proteome of 59 cell lines,P001906,A-549,00296_B04_P001906_B00B_A00_R2.RAW,A-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_E01_P0001751_A00_B00E_R1.RAW,PXD005946
501,full proteome of 59 cell lines,P001906,A-549,00296_F04_P001906_B00F_A00_R2.RAW,A-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_A03_P003204_B00E_A00_R1.RAW,PXD005946
502,full proteome of 59 cell lines,P001906,A-549,00296_H04_P001906_B00H_A00_R2.RAW,A-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_D07_P003207_B00D_A00_R1.RAW,PXD005946
503,full proteome of 59 cell lines,P001906,A-549,00296_A05_P001906_B00I_A00_R2.RAW,A-549 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_G09_P001386_B00H_A00_R1.RAW,PXD005946
504,full proteome of 59 cell lines,P003196,A-498,00441_H03_P003196_B00L_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_C06_P003206_B00G_A00_R1.RAW,PXD005946
505,full proteome of 59 cell lines,P003196,A-498,00441_E02_P003196_B00A_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_H11_P001903_B00D_A00_R1.RAW,PXD005946
506,full proteome of 59 cell lines,P003196,A-498,00441_G03_P003196_B00K_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_A08_P001356_B00I_A00_R1.RAW,PXD005946
507,full proteome of 59 cell lines,P003196,A-498,00441_C03_P003196_B00G_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_D05_P003358_B00L_A00_R1.RAW,PXD005946
508,full proteome of 59 cell lines,P003196,A-498,00441_E03_P003196_B00I_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_F05_P003198_B00B_A00_R2.RAW,PXD005946
509,full proteome of 59 cell lines,P003196,A-498,00441_F03_P003196_B00J_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000261_G04_P0001563_A00_B00G_R1.RAW,PXD005946
510,full proteome of 59 cell lines,P003196,A-498,00441_A03_P003196_B00E_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_A02_P001561_B00I_A00_R1.RAW,PXD005946
511,full proteome of 59 cell lines,P003196,A-498,00441_F02_P003196_B00B_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_E03_P001897_B00I_A00_R1.RAW,PXD005946
512,full proteome of 59 cell lines,P003196,A-498,00441_B03_P003196_B00F_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_E01_P003383_B00E_A00_R1.RAW,PXD005946
513,full proteome of 59 cell lines,P003196,A-498,00441_G02_P003196_B00C_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_C05_P001389_B00H_A00_R1.RAW,PXD005946
514,full proteome of 59 cell lines,P003196,A-498,00441_D03_P003196_B00H_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000256_B04_P0001568_A00_B00B_R1.RAW,PXD005946
515,full proteome of 59 cell lines,P003196,A-498,00441_H02_P003196_B00D_A00_R1.RAW,A-498 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00483_E01_P003487_B00E_A00_R2.RAW,PXD005946
516,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_D04_P003197_B00D_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_B05_P003205_B00J_A00_R1.RAW,PXD005946
517,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_C05_P003197_B00K_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_H06_P003357_B00L_A00_R1.RAW,PXD005946
518,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_C04_P003197_B00C_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_D01_P0001751_A00_B00D_R1.RAW,PXD005946
519,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_B04_P003197_B00B_A00_R2.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_H06_P003206_B00L_A00_R1.RAW,PXD005946
520,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_H04_P003197_B00H_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_F03_P003204_B00J_A00_R2.RAW,PXD005946
521,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_A04_P003197_B00A_A00_R2.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_G03_P001569_B00K_A00_R1.RAW,PXD005946
522,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_D05_P003197_B00L_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_C06_P001891_B00G_A00_R1.RAW,PXD005946
523,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_G04_P003197_B00G_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_H04_P003820_B00H_A00_R1.RAW,PXD005946
524,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_F04_P003197_B00F_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_F03_P001750_B00J_A00_R1.RAW,PXD005946
525,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_A05_P003197_B00I_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_C04_P003197_B00C_A00_R1.RAW,PXD005946
526,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_B05_P003197_B00J_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_G06_P001388_B00H_A00_R1.RAW,PXD005946
527,full proteome of 59 cell lines,P003197,CCRF-CEM,00441_E04_P003197_B00E_A00_R1.RAW,CCRF-CEM cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_D01_P001904_B00D_A00_R1.RAW,PXD005946
528,full proteome of 59 cell lines,P003198,H23,00441_F05_P003198_B00B_A00_R2.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_H07_P001565_B00H_A00_R1.RAW,PXD005946
529,full proteome of 59 cell lines,P003198,H23,00441_G06_P003198_B00K_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_H04_P003205_B00H_A00_R1.RAW,PXD005946
530,full proteome of 59 cell lines,P003198,H23,00441_H05_P003198_B00D_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000256_B05_P0001568_A00_B00J_R1.RAW,PXD005946
531,full proteome of 59 cell lines,P003198,H23,00441_D06_P003198_B00H_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_A06_P003357_B00E_A00_R1.RAW,PXD005946
532,full proteome of 59 cell lines,P003198,H23,00441_H06_P003198_B00L_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_B06_P001357_B00F_A00_R1.RAW,PXD005946
533,full proteome of 59 cell lines,P003198,H23,00441_F06_P003198_B00J_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_C04_P003820_B00C_A00_R1.RAW,PXD005946
534,full proteome of 59 cell lines,P003198,H23,00441_A06_P003198_B00E_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_E07_P001356_B00E_A00_R1.RAW,PXD005946
535,full proteome of 59 cell lines,P003198,H23,00441_B06_P003198_B00F_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_F02_P001569_B00B_A00_R2.RAW,PXD005946
536,full proteome of 59 cell lines,P003198,H23,00441_C06_P003198_B00G_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_F12_P001903_B00J_A00_R1.RAW,PXD005946
537,full proteome of 59 cell lines,P003198,H23,00441_G05_P003198_B00C_A00_R2.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_F02_P001359_B00B_A00_R1.RAW,PXD005946
538,full proteome of 59 cell lines,P003198,H23,00441_E06_P003198_B00I_A00_R1.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G10_P003362_B00G_A00_R1.RAW,PXD005946
539,full proteome of 59 cell lines,P003198,H23,00441_E05_P003198_B00A_A00_R2.RAW,NCI-H23 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_E04_P003197_B00E_A00_R1.RAW,PXD005946
540,full proteome of 59 cell lines,P003199,Malme-3M,00441_D07_P003199_B00D_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_A07_P003199_B00A_A00_R1.RAW,PXD005946
541,full proteome of 59 cell lines,P003199,Malme-3M,00441_H07_P003199_B00H_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_E04_P003381_B00E_A00_R1.RAW,PXD005946
542,full proteome of 59 cell lines,P003199,Malme-3M,00441_A07_P003199_B00A_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000279_H04_P001744_A00_B00H_R1.RAW,PXD005946
543,full proteome of 59 cell lines,P003199,Malme-3M,00441_D08_P003199_B00L_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_A09_P003363_B00E_A00_R1.RAW,PXD005946
544,full proteome of 59 cell lines,P003199,Malme-3M,00441_G07_P003199_B00G_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_F01_P0001751_A00_B00F_R1.RAW,PXD005946
545,full proteome of 59 cell lines,P003199,Malme-3M,00441_F07_P003199_B00F_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000261_A05_P0001563_A00_B00I_R1.RAW,PXD005946
546,full proteome of 59 cell lines,P003199,Malme-3M,00441_A08_P003199_B00I_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_E09_P003363_B00I_A00_R1.RAW,PXD005946
547,full proteome of 59 cell lines,P003199,Malme-3M,00441_B07_P003199_B00B_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_G04_P001389_B00D_A00_R1.RAW,PXD005946
548,full proteome of 59 cell lines,P003199,Malme-3M,00441_B08_P003199_B00J_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_D01_P001561_B00D_A00_R1.RAW,PXD005946
549,full proteome of 59 cell lines,P003199,Malme-3M,00441_C07_P003199_B00C_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_H03_P001750_B00L_A00_R1.RAW,PXD005946
550,full proteome of 59 cell lines,P003199,Malme-3M,00441_C08_P003199_B00K_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_A06_P001899_B00E_A00_R1.RAW,PXD005946
551,full proteome of 59 cell lines,P003199,Malme-3M,00441_E07_P003199_B00E_A00_R1.RAW,MALME-3M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_H06_P001748_B00L_A00_R1.RAW,PXD005946
552,full proteome of 59 cell lines,P003201,UO-31,00441_C10_P003201_B00C_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_C08_P001747_B00K_A00_R1.RAW,PXD005946
553,full proteome of 59 cell lines,P003201,UO-31,00441_A10_P003201_B00A_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_G07_P003199_B00G_A00_R1.RAW,PXD005946
554,full proteome of 59 cell lines,P003201,UO-31,00441_A11_P003201_B00I_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00469_B06_P003376_B00L_A00_R1.RAW,PXD005946
555,full proteome of 59 cell lines,P003201,UO-31,00441_E10_P003201_B00E_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_E04_P001906_B00E_A00_R2.RAW,PXD005946
556,full proteome of 59 cell lines,P003201,UO-31,00441_G10_P003201_B00G_A00_R2.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00469_A06_P003376_B00K_A00_R1.RAW,PXD005946
557,full proteome of 59 cell lines,P003201,UO-31,00441_B11_P003201_B00J_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_A01_P001904_B00A_A00_R1.RAW,PXD005946
558,full proteome of 59 cell lines,P003201,UO-31,00441_D11_P003201_B00L_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G12_P003361_B00K_A00_R1.RAW,PXD005946
559,full proteome of 59 cell lines,P003201,UO-31,00441_F10_P003201_B00F_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_E02_P001562_B00A_A00_R1.RAW,PXD005946
560,full proteome of 59 cell lines,P003201,UO-31,00441_D10_P003201_B00D_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_C08_P003208_B00G_A00_R1.RAW,PXD005946
561,full proteome of 59 cell lines,P003201,UO-31,00441_H10_P003201_B00H_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_D03_P003359_B00H_A00_R1.RAW,PXD005946
562,full proteome of 59 cell lines,P003201,UO-31,00441_C11_P003201_B00K_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_B03_P001569_B00F_A00_R1.RAW,PXD005946
563,full proteome of 59 cell lines,P003201,UO-31,00441_B10_P003201_B00B_A00_R1.RAW,UO-31 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_C08_P003199_B00K_A00_R1.RAW,PXD005946
564,full proteome of 59 cell lines,P003203,TK-10,00442_F01_P003203_B00F_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_C03_P003204_B00G_A00_R1.RAW,PXD005946
565,full proteome of 59 cell lines,P003203,TK-10,00442_A01_P003203_B00A_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_G02_P001750_B00C_A00_R1.RAW,PXD005946
566,full proteome of 59 cell lines,P003203,TK-10,00442_B01_P003203_B00B_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_B05_P003358_B00J_A00_R1.RAW,PXD005946
567,full proteome of 59 cell lines,P003203,TK-10,00442_B02_P003203_B00J_A00_R2.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_E05_P001564_B00A_A00_R1.RAW,PXD005946
568,full proteome of 59 cell lines,P003203,TK-10,00442_C01_P003203_B00C_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_D06_P003357_B00H_A00_R1.RAW,PXD005946
569,full proteome of 59 cell lines,P003203,TK-10,00442_C02_P003203_B00K_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_E04_P001389_B00B_A00_R1.RAW,PXD005946
570,full proteome of 59 cell lines,P003203,TK-10,00442_G01_P003203_B00G_A00_R2.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_D03_P001359_B00H_A00_R1.RAW,PXD005946
571,full proteome of 59 cell lines,P003203,TK-10,00442_A02_P003203_B00I_A00_R2.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_G06_P001748_B00K_A00_R1.RAW,PXD005946
572,full proteome of 59 cell lines,P003203,TK-10,00442_H01_P003203_B00H_A00_R2.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_F06_P001564_B00J_A00_R1.RAW,PXD005946
573,full proteome of 59 cell lines,P003203,TK-10,00442_D01_P003203_B00D_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000261_E04_P0001563_A00_B00E_R1.RAW,PXD005946
574,full proteome of 59 cell lines,P003203,TK-10,00442_D02_P003203_B00L_A00_R2.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_A06_P001891_B00E_A00_R1.RAW,PXD005946
575,full proteome of 59 cell lines,P003203,TK-10,00442_E01_P003203_B00E_A00_R1.RAW,TK-10 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_H01_P001888_B00H_A00_R1.RAW,PXD005946
576,full proteome of 59 cell lines,P003204,HOP-92,00442_D03_P003204_B00H_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_H04_P001358_B00H_A00_R1.RAW,PXD005946
577,full proteome of 59 cell lines,P003204,HOP-92,00442_C03_P003204_B00G_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_G05_P001748_B00C_A00_R1.RAW,PXD005946
578,full proteome of 59 cell lines,P003204,HOP-92,00442_E02_P003204_B00A_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_C03_P001359_B00G_A00_R1.RAW,PXD005946
579,full proteome of 59 cell lines,P003204,HOP-92,00442_B03_P003204_B00F_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_F03_P001359_B00J_A00_R1.RAW,PXD005946
580,full proteome of 59 cell lines,P003204,HOP-92,00442_H03_P003204_B00L_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_D06_P001899_B00H_A00_R1.RAW,PXD005946
581,full proteome of 59 cell lines,P003204,HOP-92,00442_F02_P003204_B00B_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_B08_P003208_B00F_A00_R1.RAW,PXD005946
582,full proteome of 59 cell lines,P003204,HOP-92,00442_G02_P003204_B00C_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_B04_P003358_B00B_A00_R1.RAW,PXD005946
583,full proteome of 59 cell lines,P003204,HOP-92,00442_E03_P003204_B00I_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_B07_P003207_B00B_A00_R1.RAW,PXD005946
584,full proteome of 59 cell lines,P003204,HOP-92,00442_F03_P003204_B00J_A00_R2.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_G07_P001565_B00G_A00_R1.RAW,PXD005946
585,full proteome of 59 cell lines,P003204,HOP-92,00442_H02_P003204_B00D_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_C01_P001360_B00C_A00_R1.RAW,PXD005946
586,full proteome of 59 cell lines,P003204,HOP-92,00442_G03_P003204_B00K_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_F08_P001387_B00K_A00_R1.RAW,PXD005946
587,full proteome of 59 cell lines,P003204,HOP-92,00442_A03_P003204_B00E_A00_R1.RAW,HOP-92 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_D06_P003206_B00H_A00_R1.RAW,PXD005946
588,full proteome of 59 cell lines,P003205,HCT 116,00442_D04_P003205_B00D_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_E03_P003204_B00I_A00_R1.RAW,PXD005946
589,full proteome of 59 cell lines,P003205,HCT 116,00442_E04_P003205_B00E_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_B05_P003197_B00J_A00_R1.RAW,PXD005946
590,full proteome of 59 cell lines,P003205,HCT 116,00442_C05_P003205_B00K_A00_R2.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G03_P003359_B00K_A00_R1.RAW,PXD005946
591,full proteome of 59 cell lines,P003205,HCT 116,00442_B05_P003205_B00J_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_F05_P001748_B00B_A00_R1.RAW,PXD005946
592,full proteome of 59 cell lines,P003205,HCT 116,00442_G04_P003205_B00G_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_E06_P001564_B00I_A00_R1.RAW,PXD005946
593,full proteome of 59 cell lines,P003205,HCT 116,00442_A04_P003205_B00A_A00_R2.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_C08_P001565_B00K_A00_R1.RAW,PXD005946
594,full proteome of 59 cell lines,P003205,HCT 116,00442_C04_P003205_B00C_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_H12_P001903_B00L_A00_R1.RAW,PXD005946
595,full proteome of 59 cell lines,P003205,HCT 116,00442_A05_P003205_B00I_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_B08_P001565_B00J_A00_R1.RAW,PXD005946
596,full proteome of 59 cell lines,P003205,HCT 116,00442_D05_P003205_B00L_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_D01_P003383_B00D_A00_R1.RAW,PXD005946
597,full proteome of 59 cell lines,P003205,HCT 116,00442_H04_P003205_B00H_A00_R1.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_D06_P001891_B00H_A00_R1.RAW,PXD005946
598,full proteome of 59 cell lines,P003205,HCT 116,00442_B04_P003205_B00B_A00_R2.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00279_E02_P001745_B00A_A00_R1.RAW,PXD005946
599,full proteome of 59 cell lines,P003205,HCT 116,00442_F04_P003205_B00F_A00_R2.RAW,HTC-116 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_D05_P003820_B00L_A00_R1.RAW,PXD005946
600,full proteome of 59 cell lines,P003206,H322M,00442_F05_P003206_B00B_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_E02_P003359_B00A_A00_R1.RAW,PXD005946
601,full proteome of 59 cell lines,P003206,H322M,00442_B06_P003206_B00F_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_G07_P003207_B00G_A00_R1.RAW,PXD005946
602,full proteome of 59 cell lines,P003206,H322M,00442_A06_P003206_B00E_A00_R2.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_B09_P003363_B00F_A00_R1.RAW,PXD005946
603,full proteome of 59 cell lines,P003206,H322M,00442_E06_P003206_B00I_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000256_D05_P0001568_A00_B00L_R1.RAW,PXD005946
604,full proteome of 59 cell lines,P003206,H322M,00442_G05_P003206_B00C_A00_R2.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_C04_P001358_B00C_A00_R1.RAW,PXD005946
605,full proteome of 59 cell lines,P003206,H322M,00442_C06_P003206_B00G_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_F04_P001389_B00C_A00_R1.RAW,PXD005946
606,full proteome of 59 cell lines,P003206,H322M,00442_D06_P003206_B00H_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_A05_P001358_B00I_A00_R1.RAW,PXD005946
607,full proteome of 59 cell lines,P003206,H322M,00442_F06_P003206_B00J_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00279_F03_P001745_B00J_A00_R1.RAW,PXD005946
608,full proteome of 59 cell lines,P003206,H322M,00442_H05_P003206_B00D_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00469_F05_P003376_B00H_A00_R1.RAW,PXD005946
609,full proteome of 59 cell lines,P003206,H322M,00442_G06_P003206_B00K_A00_R1.RAW,NCI-H322M cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_B02_P0001751_A00_B00J_R1.RAW,PXD005946
