Source Name	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [CellLineage]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellMassMorphology]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [CellLine]	Term Source REF	Term Accession Number	Factor Value [GrowthCondition]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
HS578T	HS578T	EFO	EFO_0001192	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	HS578T	P-TABM-1453	HS578T	total_RNA	P-TABM-1454	HS578T biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HS578T_3D_POP3_E09	A-AFFY-76	P-AFFY-6	HS578T	EFO	EFO_0001192	3D gel	HS578T_3D_POP3_E09	So_A120604_412315_96_3.E09_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF7	MCF7	  	  	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	MCF7	P-TABM-1453	MCF7	total_RNA	P-TABM-1454	MCF7 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MCF7	A-AFFY-33	P-AFFY-6	MCF7	  	  	2D gel	cl51_MCF7	02.MCF7.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
UACC812	UACC812	EFO	EFO_0001258	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	UACC812	P-TABM-1453	UACC812	total_RNA	P-TABM-1454	UACC812 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_UACC812	A-AFFY-33	P-AFFY-6	UACC812	EFO	EFO_0001258	2D gel	cl51_UACC812	09.UACC812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1569	HCC1569	EFO	EFO_0001173	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC1569	P-TABM-1453	HCC1569	total_RNA	P-TABM-1454	HCC1569 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1569_2D_POP0_H04	A-AFFY-76	P-AFFY-6	HCC1569	EFO	EFO_0001173	2D gel	HCC1569_2D_POP0_H04	031004_LBLPOP_321521.H04_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_2D_HTA12_A02	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	2D gel	S1_2D_HTA12_A02	05113724012696080305.A02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
CAMA1	CAMA1	EFO	EFO_0001100	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	CAMA1	P-TABM-1453	CAMA1	total_RNA	P-TABM-1454	CAMA1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_CAMA1	A-AFFY-33	P-AFFY-6	CAMA1	EFO	EFO_0001100	2D gel	cl51_CAMA1	044.CAMA.1.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT474	BT474	EFO	EFO_0001093	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	BT474	P-TABM-1453	BT474	total_RNA	P-TABM-1454	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_BT474	A-AFFY-33	P-AFFY-6	BT474	EFO	EFO_0001093	2D gel	cl51_BT474	01.BT474.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T47D	T47D	EFO	EFO_0001247	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	T47D	P-TABM-1453	T47D	total_RNA	P-TABM-1454	T47D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T47D_3D_POP0_C08	A-AFFY-76	P-AFFY-6	T47D	EFO	EFO_0001247	3D gel	T47D_3D_POP0_C08	031004_LBLPOP_321521.C08_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
ZR751	ZR751	EFO	EFO_0001262	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	ZR751	P-TABM-1453	ZR751	total_RNA	P-TABM-1454	ZR751 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	ZR751_3D_HTA7_B09	A-AFFY-76	P-AFFY-6	ZR751	EFO	EFO_0001262	3D gel	ZR751_3D_HTA7_B09	05202784005645111904241083.B09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_3D_HTA12_B11	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	3D gel	S1_3D_HTA12_B11	05113724012696080305.B11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_3D_POP4_D09	A-AFFY-76	P-AFFY-6	T4-2	  	  	3D gel	T4_3D_POP4_D09	So_A010505_412346_96_3.D09_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1569	HCC1569	EFO	EFO_0001173	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC1569	P-TABM-1453	HCC1569	total_RNA	P-TABM-1454	HCC1569 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1569_3D_HTA12_A08	A-AFFY-76	P-AFFY-6	HCC1569	EFO	EFO_0001173	3D gel	HCC1569_3D_HTA12_A08	05113724012696080305.A08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF7	MCF7	  	  	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	MCF7	P-TABM-1453	MCF7	total_RNA	P-TABM-1454	MCF7 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF7_2D_POP0_G12	A-AFFY-76	P-AFFY-6	MCF7	  	  	2D gel	MCF7_2D_POP0_G12	031004_LBLPOP_321521.G12_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
600MPE	600MPE	EFO	EFO_0001085	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	600MPE	P-TABM-1453	600MPE	total_RNA	P-TABM-1454	600MPE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	600MPE_3D_HTA7_C09	A-AFFY-76	P-AFFY-6	600MPE	EFO	EFO_0001085	3D gel	600MPE_3D_HTA7_C09	05202784005645111904241083.C09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1500	HCC1500	EFO	EFO_0001172	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	HCC1500	P-TABM-1453	HCC1500	total_RNA	P-TABM-1454	HCC1500 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1500_3D_HTA7_G07	A-AFFY-76	P-AFFY-6	HCC1500	EFO	EFO_0001172	3D gel	HCC1500_3D_HTA7_G07	05202784005645111904241083.G07.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T47D	T47D	EFO	EFO_0001247	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	T47D	P-TABM-1453	T47D	total_RNA	P-TABM-1454	T47D biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T47D_2D_POP0_F04	A-AFFY-76	P-AFFY-6	T47D	EFO	EFO_0001247	2D gel	T47D_2D_POP0_F04	031004_LBLPOP_321521.F04_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1569	HCC1569	EFO	EFO_0001173	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC1569	P-TABM-1453	HCC1569	total_RNA	P-TABM-1454	HCC1569 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_HCC1569	A-AFFY-33	P-AFFY-6	HCC1569	EFO	EFO_0001173	2D gel	cl51_HCC1569	014.HCC1569.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SKBR3	SKBR3	EFO	EFO_0001236	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	SKBR3	P-TABM-1453	SKBR3	total_RNA	P-TABM-1454	SKBR3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SKBR3_3D_HTA12_B04	A-AFFY-76	P-AFFY-6	SKBR3	EFO	EFO_0001236	3D gel	SKBR3_3D_HTA12_B04	05113724012696080305.B04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1500	HCC1500	EFO	EFO_0001172	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	HCC1500	P-TABM-1453	HCC1500	total_RNA	P-TABM-1454	HCC1500 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_HCC1500	A-AFFY-33	P-AFFY-6	HCC1500	EFO	EFO_0001172	2D gel	cl51_HCC1500	05.HCC1500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1569	HCC1569	EFO	EFO_0001173	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC1569	P-TABM-1453	HCC1569	total_RNA	P-TABM-1454	HCC1569 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1569_2D_POP6_C01	A-AFFY-76	P-AFFY-6	HCC1569	EFO	EFO_0001173	2D gel	HCC1569_2D_POP6_C01	So_A032305_4006409_284_96_LBNL.C01_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mb_S1	A-AFFY-33	P-AFFY-6	S1	EFO	EFO_0002078	3D gel	mb_S1	59_3D.S1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HS578T	HS578T	EFO	EFO_0001192	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	HS578T	P-TABM-1453	HS578T	total_RNA	P-TABM-1454	HS578T biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_HS578T	A-AFFY-33	P-AFFY-6	HS578T	EFO	EFO_0001192	2D gel	cl51_HS578T	025.HS578T.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT483	BT483	EFO	EFO_0001095	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	BT483	P-TABM-1453	BT483	total_RNA	P-TABM-1454	BT483 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT483_3D_HTA12_F11	A-AFFY-76	P-AFFY-6	BT483	EFO	EFO_0001095	3D gel	BT483_3D_HTA12_F11	05113724012696080305.F11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF7	MCF7	  	  	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	MCF7	P-TABM-1453	MCF7	total_RNA	P-TABM-1454	MCF7 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF7_2D_POP6_C07	A-AFFY-76	P-AFFY-6	MCF7	  	  	2D gel	MCF7_2D_POP6_C07	So_A032305_4006409_284_96_LBNL.C07_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB361	MDAMB361	EFO	EFO_0001211	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB361	P-TABM-1453	MDAMB361	total_RNA	P-TABM-1454	MDAMB361 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB361_3D_HTA12_C11	A-AFFY-76	P-AFFY-6	MDAMB361	EFO	EFO_0001211	3D gel	MDAMB361_3D_HTA12_C11	05113724012696080305.C11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT474	BT474	EFO	EFO_0001093	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	BT474	P-TABM-1453	BT474	total_RNA	P-TABM-1454	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT474_3D_HTA7_A09	A-AFFY-76	P-AFFY-6	BT474	EFO	EFO_0001093	3D gel	BT474_3D_HTA7_A09	05202784005645111904241083.A09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_3D_HTA12_E03	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	3D gel	S1_3D_HTA12_E03	05113724012696080305.E03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_3D_POP4_D08	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	3D gel	S1_3D_POP4_D08	So_A010505_412346_96_3.D08_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
