Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[developmental stage]
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	S8073TQ_7.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_7.raw	1	7	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	S8073TQ_7.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_7.raw	1	7	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	S8073TQ_7.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_7.raw	1	7	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 6	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 7	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	S8073TQ_8.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_8.raw	1	8	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 6	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 7	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	S8073TQ_9.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_9.raw	1	9	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 2	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT127N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 3	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT127C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 4	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT128N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 5	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT128C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
Sample 6	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT129N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 7	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT129C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 8	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT130N	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 9	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT130C	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 10	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	geriatric	Intervertebral disc degeneration	not available	not available	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	S8073TQ_10.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_10.raw	1	10	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	geriatric
Sample 1	Homo sapiens	lumbar disc nucleus pulposus	not applicable	not applicable	fetal	normal	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	S8073TQ_11.raw	http://download.iprox.org/IPX0001736000/IPX0001736001/S8073TQ_11.raw	1	11	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	NT=Dimethylaminoethyl;AC=UNIMOD:1846;TA=C;MT=Fixed	NT=Trypsin/P;AC=MS:1001313	35 NCE	20 ppm	0.02 Da	fetal
