Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[mass]	Charateristics[spiked compound]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[disease]	Factor Value[spiked compound]
Sample 6	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	3	cell	run 21	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	21	TMT129N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 7	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	4	cell	run 21	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	21	TMT129C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 8	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	1	cell	run 21	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	21	TMT130N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 9	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	2	cell	run 21	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	21	TMT130C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 10	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	3	cell	run 21	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr37.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	21	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 1	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	1	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 2	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	2	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT127N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 3	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	3	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT127C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 4	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	1	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT128N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 5	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	2	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT128C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 6	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	3	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT129N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 7	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	4	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT129C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 8	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	1	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT130N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 9	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	2	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT130C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 10	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	3	cell	run 22	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	22	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 1	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	1	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 2	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	2	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT127N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 3	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	3	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT127C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 4	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	1	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT128N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 5	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	2	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT128C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 6	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	3	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT129N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 7	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house	4	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT129C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=15 ug;CV=in-house
Sample 8	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	1	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT130N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 9	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	2	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT130C	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 10	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house	3	cell	run 23	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr39.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	23	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=45 ug;CV=in-house
Sample 1	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	1	cell	run 24	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	24	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
Sample 2	Homo sapiens	breast	69Y	elderly	MCF-7	epithelial cell	female	breast adenocarcinoma	70 ug	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house	2	cell	run 24	proteomic profiling by mass spectrometry	GMHJYZ_DeqMSvalidation_300ug_TMT10_IPG3-10_fr40.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD007985/p01.raw	1	24	TMT127N	NT=Q Exactive HF;AC=MS:1002523	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30%-40% NCE	10 ppm	0.11 Da	breast adenocarcinoma	SP=Escherichia coli K-12;CT=Mixture;QY=7.5 ug;CV=in-house
