Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[treatment]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	characteristics[enrichment process]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[cell line]	Factor Value[treatment]	Factor Value[enrichment process]
Sample 12	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	no enrichment	cell	run 12	profiling by mass spectrometry	Pos-24H-4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-4.raw	1	4	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 7	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	1	no enrichment	cell	run 13	profiling by mass spectrometry	Pos-24H-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-5.raw	1	5	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 8	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	2	no enrichment	cell	run 13	profiling by mass spectrometry	Pos-24H-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-5.raw	1	5	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 9	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	1	no enrichment	cell	run 13	profiling by mass spectrometry	Pos-24H-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-5.raw	1	5	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 10	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	2	no enrichment	cell	run 13	profiling by mass spectrometry	Pos-24H-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-5.raw	1	5	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 11	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	1	no enrichment	cell	run 13	profiling by mass spectrometry	Pos-24H-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-5.raw	1	5	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 12	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	no enrichment	cell	run 13	profiling by mass spectrometry	Pos-24H-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-5.raw	1	5	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 7	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	1	no enrichment	cell	run 14	profiling by mass spectrometry	Pos-24H-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-6.raw	1	6	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 8	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	2	no enrichment	cell	run 14	profiling by mass spectrometry	Pos-24H-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-6.raw	1	6	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 9	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	1	no enrichment	cell	run 14	profiling by mass spectrometry	Pos-24H-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-6.raw	1	6	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 10	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	2	no enrichment	cell	run 14	profiling by mass spectrometry	Pos-24H-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-6.raw	1	6	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 11	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	1	no enrichment	cell	run 14	profiling by mass spectrometry	Pos-24H-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-6.raw	1	6	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 12	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	no enrichment	cell	run 14	profiling by mass spectrometry	Pos-24H-6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-6.raw	1	6	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 7	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	1	no enrichment	cell	run 15	profiling by mass spectrometry	Pos-24H-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-7.raw	1	7	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 8	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	2	no enrichment	cell	run 15	profiling by mass spectrometry	Pos-24H-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-7.raw	1	7	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 9	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	1	no enrichment	cell	run 15	profiling by mass spectrometry	Pos-24H-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-7.raw	1	7	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 10	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	2	no enrichment	cell	run 15	profiling by mass spectrometry	Pos-24H-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-7.raw	1	7	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 11	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	1	no enrichment	cell	run 15	profiling by mass spectrometry	Pos-24H-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-7.raw	1	7	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 12	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	no enrichment	cell	run 15	profiling by mass spectrometry	Pos-24H-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-7.raw	1	7	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 7	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	1	no enrichment	cell	run 16	profiling by mass spectrometry	Pos-24H-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-8.raw	1	8	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 8	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Fed (With FBS)	breast cancer	Arab	female	62Y	2	no enrichment	cell	run 16	profiling by mass spectrometry	Pos-24H-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-8.raw	1	8	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Fed (With FBS)	no enrichment
Sample 9	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	1	no enrichment	cell	run 16	profiling by mass spectrometry	Pos-24H-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-8.raw	1	8	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 10	Homo sapiens	breast	epithelial cell	MCF7	adult	Fed (With FBS)	breast cancer	White	female	69Y	2	no enrichment	cell	run 16	profiling by mass spectrometry	Pos-24H-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-8.raw	1	8	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Fed (With FBS)	no enrichment
Sample 11	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	1	no enrichment	cell	run 16	profiling by mass spectrometry	Pos-24H-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-8.raw	1	8	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 12	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Fed (With FBS)	breast cancer	White	female	51Y	2	no enrichment	cell	run 16	profiling by mass spectrometry	Pos-24H-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/Pos-24H-8.raw	1	8	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	not applicable	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Fed (With FBS)	no enrichment
Sample 13	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Starve (No FBS)	breast cancer	Arab	female	62Y	1	enrichment of phosphorylated Protein	cell	run 17	profiling by mass spectrometry	24H-Phos-Neg_1_171201094127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_1_171201094127.raw	1	1	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 14	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Starve (No FBS)	breast cancer	Arab	female	62Y	2	enrichment of phosphorylated Protein	cell	run 17	profiling by mass spectrometry	24H-Phos-Neg_1_171201094127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_1_171201094127.raw	1	1	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 15	Homo sapiens	breast	epithelial cell	MCF7	adult	Starve (No FBS)	breast cancer	White	female	69Y	1	enrichment of phosphorylated Protein	cell	run 17	profiling by mass spectrometry	24H-Phos-Neg_1_171201094127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_1_171201094127.raw	1	1	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 16	Homo sapiens	breast	epithelial cell	MCF7	adult	Starve (No FBS)	breast cancer	White	female	69Y	2	enrichment of phosphorylated Protein	cell	run 17	profiling by mass spectrometry	24H-Phos-Neg_1_171201094127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_1_171201094127.raw	1	1	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 17	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Starve (No FBS)	breast cancer	White	female	51Y	1	enrichment of phosphorylated Protein	cell	run 17	profiling by mass spectrometry	24H-Phos-Neg_1_171201094127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_1_171201094127.raw	1	1	TMT130	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 18	Homo sapiens	breast	epithelial cell	MDAMB231	adult	Starve (No FBS)	breast cancer	White	female	51Y	2	enrichment of phosphorylated Protein	cell	run 17	profiling by mass spectrometry	24H-Phos-Neg_1_171201094127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_1_171201094127.raw	1	1	TMT131	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MD-MB-231	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 13	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Starve (No FBS)	breast cancer	Arab	female	62Y	1	enrichment of phosphorylated Protein	cell	run 18	profiling by mass spectrometry	24H-Phos-Neg_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_2.raw	1	2	TMT126	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 14	Homo sapiens	breast	epithelial cell	KAIMRC1	adult	Starve (No FBS)	breast cancer	Arab	female	62Y	2	enrichment of phosphorylated Protein	cell	run 18	profiling by mass spectrometry	24H-Phos-Neg_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_2.raw	1	2	TMT127	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	KAIMRC1	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 15	Homo sapiens	breast	epithelial cell	MCF7	adult	Starve (No FBS)	breast cancer	White	female	69Y	1	enrichment of phosphorylated Protein	cell	run 18	profiling by mass spectrometry	24H-Phos-Neg_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_2.raw	1	2	TMT128	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Starve (No FBS)	enrichment of phosphorylated Protein
Sample 16	Homo sapiens	breast	epithelial cell	MCF7	adult	Starve (No FBS)	breast cancer	White	female	69Y	2	enrichment of phosphorylated Protein	cell	run 18	profiling by mass spectrometry	24H-Phos-Neg_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD017721/24H-Phos-Neg_2.raw	1	2	TMT129	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;TA=K;MT=Fixed;AC=UNIMOD:737	NT=TMT6plex;PP=Any N-term;MT=Fixed;AC=UNIMOD:737	"NT=Phospho;MT=Fixed;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	50 ppm	600 ppm	MCF7	Starve (No FBS)	enrichment of phosphorylated Protein
